GLOBALEVENTID,SQLDATE,ActionGeo_FullName,EventCode,GoldsteinScale,NumArticles,AvgTone,SOURCEURL,City,Date
1299847899.0,20260418.0,"Warsaw, (PL67), Poland",46.0,7.0,6,-1.16896918172157,,Warsaw,
1299838282.0,20260418.0,"Warsaw, (PL67), Poland",51.0,3.4,10,5.4054054054054,,Warsaw,
1299847660.0,20260418.0,"Warsaw, (PL67), Poland",23.0,3.4,10,-1.16896918172157,,Warsaw,
1299811875.0,20260418.0,"Warsaw, (PL67), Poland",10.0,0.0,1,-7.52089136490251,,Warsaw,
1299899319.0,20260418.0,"Warsaw, (PL67), Poland",17.0,0.0,10,1.95121951219512,,Warsaw,
1299857856.0,20260418.0,"Warsaw, (PL67), Poland",43.0,2.8,3,0.49751243781095,,Warsaw,
1299803351.0,20260418.0,"Warsaw, (PL67), Poland",36.0,4.0,10,2.73972602739726,,Warsaw,
1299857783.0,20260418.0,"Warsaw, (PL67), Poland",42.0,1.9,2,0.49751243781095,,Warsaw,
1299803352.0,20260418.0,"Warsaw, (PL67), Poland",43.0,2.8,10,2.73972602739726,,Warsaw,
1299812083.0,20260418.0,"Warsaw, (PL67), Poland",190.0,-10.0,5,-5.88235294117647,,Warsaw,
1299857938.0,20260418.0,"Warsaw, (PL67), Poland",43.0,2.8,2,0.49751243781095,,Warsaw,
1299811876.0,20260418.0,"Warsaw, (PL67), Poland",10.0,0.0,1,-7.52089136490251,,Warsaw,
1299857464.0,20260418.0,"Warsaw, (PL67), Poland",40.0,1.0,4,11.4457831325301,,Warsaw,
1299755788.0,20260417.0,"Warsaw, (PL67), Poland",40.0,1.0,4,-0.625,,Warsaw,
1299673665.0,20260417.0,"Warsaw, (PL67), Poland",43.0,2.8,2,-4.16184971098266,,Warsaw,
1299756336.0,20260417.0,"Warsaw, (PL67), Poland",46.0,7.0,4,-0.625,,Warsaw,
1299777257.0,20260417.0,"Warsaw, (PL67), Poland",110.0,-2.0,8,-0.44977511244378,,Warsaw,
1299741795.0,20260417.0,"Warsaw, (PL67), Poland",193.0,-10.0,5,1.66666666666667,,Warsaw,
1299743991.0,20260417.0,"Warsaw, (PL67), Poland",51.0,3.4,2,-0.60468631897203,,Warsaw,
1299744221.0,20260417.0,"Warsaw, (PL67), Poland",60.0,6.0,8,-0.60468631897203,,Warsaw,
1299730094.0,20260417.0,"Warsaw, (PL67), Poland",10.0,0.0,1,1.20171673819743,,Warsaw,
1299691188.0,20260417.0,"Warsaw, (PL67), Poland",36.0,4.0,10,-0.31645569620253,,Warsaw,
1299663537.0,20260417.0,"Warsaw, (PL67), Poland",190.0,-10.0,3,-7.43727598566307,,Warsaw,
